rnn_type,activation,Untrained,Trained,Generalization,Position Loss
RNN,linear,0.25,0.63,0.14,0.21
RNN,tanh,0.25,0.71,0.28,0.27
RNN,sigmoid,0.23,0.32,0.24,0.4
RNN,relu,0.52,0.68,0.71,0.41
SRNN,linear,0.25,0.63,0.22,0.22
SRNN,tanh,0.25,0.63,0.22,0.35
SRNN,sigmoid,0.23,0.24,0.31,0.42
SRNN,relu,0.52,0.78,0.45,0.47
GRU,linear,0.42,0.65,0.66,0.27
GRU,tanh,0.42,0.68,0.66,0.26
GRU,sigmoid,0.26,0.75,0.26,0.41
GRU,relu,0.66,0.76,0.71,0.46
LSTM,linear,0.42,0.64,0.72,0.22
LSTM,tanh,0.42,0.64,0.71,0.23
LSTM,sigmoid,0.28,0.59,0.28,0.3
LSTM,relu,0.64,0.79,0.74,0.4
UGRNN,linear,0.56,0.73,0.69,0.22
UGRNN,tanh,0.56,0.74,0.69,0.23
UGRNN,sigmoid,0.31,0.79,0.33,0.38
UGRNN,relu,0.69,0.81,0.75,0.51
